,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-6.0,-54.0,20.0,24.042044052377975,229888
1,1a,50.0,-66.0,28.0,16.114236566840148,
2,1b,-50.0,-70.0,32.0,13.420910701410298,
3,1c,-2.0,-42.0,36.0,11.051783952519846,
4,2,-6.0,50.0,-8.0,14.078702756911825,238400
5,2a,6.0,54.0,20.0,13.227800615707794,
6,2b,-2.0,54.0,8.0,12.875418101368451,
7,2c,-18.0,42.0,52.0,12.81455439421246,
8,3,-58.0,-14.0,-20.0,10.615899969205252,22400
9,3a,-42.0,10.0,-40.0,4.069289732481249,
10,3b,-34.0,26.0,-28.0,1.6358309119550782,
11,3c,-26.0,22.0,-32.0,1.017337055632132,
12,4,58.0,-2.0,-28.0,9.233392950464934,46976
13,4a,58.0,-14.0,-20.0,7.470226944612842,
14,4b,66.0,-18.0,-20.0,6.485601009526817,
15,4c,26.0,-26.0,-20.0,4.610128121627611,
16,5,2.0,-54.0,-48.0,5.388378514380368,7872
17,6,-34.0,-86.0,-36.0,4.025153274054241,6080
18,6a,-18.0,-86.0,-40.0,1.542398254298773,
19,6b,-26.0,-78.0,-20.0,0.9257183993350572,
20,6c,-14.0,-78.0,-24.0,0.9115311518065086,
21,7,42.0,-66.0,-52.0,3.9094426961512294,13824
22,7a,14.0,-86.0,-28.0,3.8257052632389126,
23,7b,22.0,-86.0,-36.0,3.484679106806272,
24,7c,30.0,-46.0,-52.0,0.9129160060542237,
25,8,18.0,-22.0,72.0,3.698529469402109,4352
26,8a,14.0,-34.0,76.0,1.4500615440733071,
27,8b,14.0,-22.0,56.0,1.201281874148803,
28,8c,18.0,-10.0,76.0,0.8293641004272435,
29,9,2.0,-10.0,-20.0,2.749546008668208,768
30,10,14.0,-6.0,28.0,1.9032408497806452,640
31,11,-54.0,22.0,0.0,1.5702131217093913,704
32,12,-46.0,30.0,-16.0,1.5272748109448266,2816
33,13,-42.0,-66.0,-56.0,1.449345045250483,384
34,14,-22.0,-2.0,16.0,1.3647196314306935,768
35,15,62.0,-10.0,44.0,1.3219204149312076,384
36,16,-2.0,-14.0,0.0,1.2559169214071788,448
37,17,66.0,-34.0,36.0,1.1642306722443003,3264
38,17a,66.0,-18.0,24.0,0.9801998990305204,
39,17b,62.0,-34.0,48.0,0.6644027988999691,
40,18,-2.0,-2.0,24.0,1.1505060728664072,1280
41,18a,-14.0,-6.0,28.0,0.934674476811059,
42,19,-50.0,-70.0,-40.0,1.0950513719059125,1728
43,19a,-50.0,-58.0,-40.0,0.9528452362391737,
44,20,-62.0,6.0,4.0,0.8778953055994092,256
45,21,46.0,-14.0,64.0,0.756245066534277,128
46,22,-2.0,-2.0,-32.0,0.6740724489163866,576
47,23,30.0,6.0,68.0,0.6505762449660055,704
48,24,50.0,-30.0,20.0,0.607332677118214,512
49,25,2.0,-6.0,20.0,0.5192480397871927,320
50,26,10.0,2.0,-36.0,0.49561826663473096,192
51,27,-18.0,14.0,-4.0,0.4663518479728511,192
52,28,-66.0,-34.0,40.0,0.45548520432014944,768
53,28a,-62.0,-46.0,40.0,0.42752707408540835,
54,29,66.0,-50.0,24.0,0.41125524611994807,128
55,30,14.0,2.0,-40.0,0.3440937802974534,192
56,31,-30.0,-62.0,-48.0,0.34374930238545653,320
57,32,-34.0,-62.0,56.0,0.33149396934545733,128
58,33,58.0,26.0,4.0,0.31747713311501025,512
59,34,14.0,-54.0,76.0,0.30172720023388816,256
60,35,-2.0,-50.0,-32.0,0.29301352097012273,128
61,36,-2.0,-86.0,0.0,0.26167405655514175,256
62,37,-30.0,-2.0,-32.0,0.25163882076926236,64
63,38,50.0,-2.0,56.0,0.24955410236419293,64
64,39,-10.0,-14.0,8.0,0.24866643487366913,128
65,40,-50.0,-82.0,12.0,0.23027697779118683,64
66,41,18.0,-66.0,-48.0,0.22641758239502216,64
67,42,26.0,-94.0,24.0,0.20299288937947207,64
68,43,34.0,-94.0,16.0,0.19995303264802392,64
69,44,34.0,22.0,60.0,0.19459604980512404,64
70,45,-2.0,-86.0,-24.0,0.18407970795837508,128
71,46,-34.0,-78.0,-52.0,0.13930193887717685,64
72,47,-34.0,-74.0,-56.0,0.12995603277309073,64
73,48,26.0,-66.0,-52.0,0.12619373269270315,192
74,49,26.0,26.0,60.0,0.1239882042656376,64
75,50,2.0,-82.0,-24.0,0.1017147715534869,64
76,51,30.0,34.0,52.0,0.048850873117494496,64
77,52,-18.0,-34.0,12.0,0.043452318766564406,64
78,53,-34.0,-58.0,-52.0,0.04151537874130382,64
79,54,18.0,-26.0,-36.0,0.017825552226336163,64
80,55,-34.0,62.0,-12.0,0.015413817613752835,64
81,56,-14.0,18.0,-8.0,0.013843524742178148,64
82,57,-6.0,-58.0,-24.0,0.006632792110275265,64
